"Brand","Model","Model_year","Mileage","Horsepower","Accident","Price"
"Mercedes-Benz","AMG E 53 4MATIC",2020,8375,NA,0,69900
"BMW","M550 i xDrive",2020,40000,523,0,53000
"Subaru","Impreza WRX STI",2014,77000,305,1,30000
"Mercedes-Benz","AMG G 63 Base",2019,19593,NA,0,159998
"Mazda","Mazda6 Grand Touring",2020,35902,NA,0,22966
"Hyundai","Veloster Base",2013,800,132,0,9800
"Bentley","Bentayga S",2023,2600,NA,0,239995
"Land","Rover Defender X-Dynamic SE",2023,6204,NA,0,79998
"Kia","Telluride SX",2020,69185,NA,0,37405
"Maserati","GranTurismo Sport",2015,45000,454,0,41900
"BMW","540 i xDrive",2020,37426,NA,0,39998
"INFINITI","M56 Base",2011,137000,420,1,8500
"Mazda","Mazda3 s Grand Touring",2016,85000,NA,1,18500
"Chevrolet","Corvette Stingray w/1LT",2023,4000,490,1,73900
"Audi","Q5 S line Premium Plus",2023,4648,NA,0,47598
"Lexus","GX 460 Base",2018,52100,301,0,38000
"BMW","X1 sDrive28i",2014,50100,240,0,10795
"Alfa","Romeo Stelvio Ti",2020,41000,280,0,32400
"RAM","1500 Big Horn",2021,70968,395,0,34000
"BMW","M4 Base",2015,26600,425,0,53000
"Tesla","Model X Long Range",2022,15443,670,0,84500
"Volvo","S90 T5 Momentum",2018,95000,250,0,18000
"Subaru","Impreza WRX Sti",2005,94000,300,0,19500
"BMW","X6 xDrive40i",2020,45076,NA,0,57998
"Cadillac","CTS 2.0L Turbo Luxury",2014,110000,272,0,11000
"Land","Rover Discovery Sport HSE",2016,49083,NA,0,21590
"Genesis","G90 5.0 Ultimate",2017,63500,420,0,27500
"Mercedes-Benz","CLK-Class CLK 350",2009,21500,268,1,18000
"Land","Rover Range Rover Autobiography",2023,324,NA,0,199998
"Kia","Optima EX",2019,68166,NA,0,20818
"Toyota","Highlander SE",2018,53607,NA,1,31853
"Mercedes-Benz","Sprinter 4500 High Roof",2019,16813,188,NA,45900
"BMW","X1 xDrive28i",2020,18200,228,1,29500
"Audi","R8 5.2",2015,51000,550,1,102000
"Audi","S3 2.0T Tech Premium Plus",2018,16400,292,0,42800
